Initial_C;V;Final_C;CVC_word;V_length
b;i;t;bit;short
b;a;t;bat;short
b;u;t;but;short
b;i:;t;bi:t;long
b;a:;t;ba:t;long
b;u:;t;bu:t;long
b;e:;t;be:t;long
b;o:;t;bo:t;long
d;i;r;dir;short
d;a;r;dar;short
d;u;r;dur;short
d;i:;r;di:r;long
d;a:;r;da:r;long
d;u:;r;du:r;long
d;e:;r;de:r;long
d;o:;r;do:r;long
d;i;d;gid;short
d;a;d;gad;short
d;u;d;gud;short
d;i:;d;gi:d;long
d;a:;d;ga:d;long
d;u:;d;gu:d;long
d;e:;d;ge:d;long
d;o:;d;go:d;long
