API;SAMPA;ORTH
a;a;a
e;e;é
i;i;i
o;o;o
u;u;ou
ɛ;E;è
œ;9;œ
y;y;u
ɑ̃;A~;an
ɛ̃;E~;ein
ɔ̃;O~;on
ɔ;O;o
