init;fin;sequence;SAMPA;Mot ;CV/VC;C;V;8
حكى;مرتين;حكى تَاب مرتين;ta:b;تَاب;ta:;t;a:;8
حكى;مرتين;حكى تَل مرتين;tal;تَل;ta;t;a;8
حكى;مرتين;حكى تُوب مرتين;tu:b;تُوب;tu:;t;u:;8
حكى;مرتين;حكى تُف مرتين;tuf;تُف;tu;t;u;8
حكى;مرتين;حكى تِين مرتين;ti:n;تِين;ti:;t;i:;8
حكى;مرتين;حكى تِف مرتين;tif;تِف;ti;t;i;8
حكى;مرتين;حكى توم مرتين;to:m;توم;to:;t;o:;8
حكى;مرتين;حكى تيس مرتين;te:s;تيس;te:;t;e:;8
