OrdreOrig;Stimulus;Sequence;Liste tournante 5;Liste tournante 4
65;Adrien_da-22bands-fc-128-NoiseCarrier.wav;Adrien_da;2;1
66;Adrien_dy-4bands-fc-128-NoiseCarrier.wav;Adrien_dy;4;2
67;Adrien_dy-8bands-fc-128-NoiseCarrier.wav;Adrien_dy;5;3
68;Adrien_dy-12bands-fc-128-NoiseCarrier.wav;Adrien_dy;1;4
69;Adrien_dy-16bands-fc-128-NoiseCarrier.wav;Adrien_dy;2;2
70;Adrien_dy-22bands-fc-128-NoiseCarrier.wav;Adrien_dy;3;3
71;Adrien_d2-4bands-fc-128-NoiseCarrier.wav;Adrien_d2;5;4
72;Adrien_d2-8bands-fc-128-NoiseCarrier.wav;Adrien_d2;1;1
73;Adrien_d2-12bands-fc-128-NoiseCarrier.wav;Adrien_d2;2;3
74;Adrien_d2-16bands-fc-128-NoiseCarrier.wav;Adrien_d2;3;4
75;Adrien_d2-22bands-fc-128-NoiseCarrier.wav;Adrien_d2;4;1
76;Adrien_du-4bands-fc-128-NoiseCarrier.wav;Adrien_du;1;2
77;Adrien_du-8bands-fc-128-NoiseCarrier.wav;Adrien_du;2;4
78;Adrien_du-12bands-fc-128-NoiseCarrier.wav;Adrien_du;3;1
79;Adrien_du-16bands-fc-128-NoiseCarrier.wav;Adrien_du;4;2
80;Adrien_du-22bands-fc-128-NoiseCarrier.wav;Adrien_du;5;3
81;Adrien_do-4bands-fc-128-NoiseCarrier.wav;Adrien_do;2;1
82;Adrien_do-8bands-fc-128-NoiseCarrier.wav;Adrien_do;3;2
83;Adrien_do-12bands-fc-128-NoiseCarrier.wav;Adrien_do;4;3
84;Adrien_do-16bands-fc-128-NoiseCarrier.wav;Adrien_do;5;4
85;Adrien_do-22bands-fc-128-NoiseCarrier.wav;Adrien_do;1;2
86;Adrien_da~-4bands-fc-128-NoiseCarrier.wav;Adrien_da~;3;3
87;Adrien_da~-8bands-fc-128-NoiseCarrier.wav;Adrien_da~;4;4
88;Adrien_da~-12bands-fc-128-NoiseCarrier.wav;Adrien_da~;5;1
89;Adrien_da~-16bands-fc-128-NoiseCarrier.wav;Adrien_da~;1;3
90;Adrien_da~-22bands-fc-128-NoiseCarrier.wav;Adrien_da~;2;4
91;Adrien_do~-4bands-fc-128-NoiseCarrier.wav;Adrien_do~;4;1
92;Adrien_do~-8bands-fc-128-NoiseCarrier.wav;Adrien_do~;5;2
93;Adrien_do~-12bands-fc-128-NoiseCarrier.wav;Adrien_do~;1;4
94;Adrien_do~-16bands-fc-128-NoiseCarrier.wav;Adrien_do~;2;1
95;Adrien_do~-22bands-fc-128-NoiseCarrier.wav;Adrien_do~;3;2
96;Adrien_de~-4bands-fc-128-NoiseCarrier.wav;Adrien_de~;5;3
97;Adrien_de~-8bands-fc-128-NoiseCarrier.wav;Adrien_de~;1;1
98;Adrien_de~-12bands-fc-128-NoiseCarrier.wav;Adrien_de~;2;2
99;Adrien_de~-16bands-fc-128-NoiseCarrier.wav;Adrien_de~;3;3
100;Adrien_de~-22bands-fc-128-NoiseCarrier.wav;Adrien_de~;4;4
101;Adrien_gi-4bands-fc-128-NoiseCarrier.wav;Adrien_gi;1;2
102;Adrien_gi-8bands-fc-128-NoiseCarrier.wav;Adrien_gi;2;3
103;Adrien_gi-12bands-fc-128-NoiseCarrier.wav;Adrien_gi;3;4
104;Adrien_gi-16bands-fc-128-NoiseCarrier.wav;Adrien_gi;4;1
105;Adrien_gi-22bands-fc-128-NoiseCarrier.wav;Adrien_gi;5;3
106;Adrien_ge1-4bands-fc-128-NoiseCarrier.wav;Adrien_ge1;2;4
107;Adrien_ge1-8bands-fc-128-NoiseCarrier.wav;Adrien_ge1;3;1
108;Adrien_ge1-12bands-fc-128-NoiseCarrier.wav;Adrien_ge1;4;2
109;Adrien_ge1-16bands-fc-128-NoiseCarrier.wav;Adrien_ge1;5;4
110;Adrien_ge1-22bands-fc-128-NoiseCarrier.wav;Adrien_ge1;1;1
111;Adrien_ga-4bands-fc-128-NoiseCarrier.wav;Adrien_ga;3;2
