nbsylls;phrasecompl;Phrase porteuse(CN)   ;Traduction;Caractère(CN);Type;Traduction du caractère;Phrase porteuse (pinyin);Phrase porteuse (SAMPA-C);Syllabe sans ton (pinyin) ;Ton;Syllabe avec ton (pinyin)Pinyin diacritique;Syllable avec ton (SAMPA-C)
5;这个字读师.;这个字读;Ce caractère se prononce ;师;.;maître;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;shi;T1;shī;s`i_1
5;这个字读时?;这个字读;Ce caractère se prononce ;时;?;heure;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;shi;T2;shí;s`i_2
5;这个字读史.;这个字读;Ce caractère se prononce ;史;.;histoire;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;shi;T3;shǐ;s`i_3
5;这个字读市?;这个字读;Ce caractère se prononce ;市;?;ville;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;shi;T4;shì;s`i_4
5;这个字念师.;这个字念;Ce caractère se prononce ;师;.;maître;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;shi;T1;shī;s`i_1
5;这个字念时?;这个字念;Ce caractère se prononce ;时;?;heure;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;shi;T2;shí;s`i_2
5;这个字念史.;这个字念;Ce caractère se prononce ;史;.;histoire;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;shi;T3;shǐ;s`i_3
5;这个字念试?;这个字念;Ce caractère se prononce ;试;?;essayer;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;shi;T4;shì;s`i_4
5;这个字读八.;这个字读;Ce caractère se prononce ;八;.;huit;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;ba;T1;bā;"pa_""_1 "
5;这个字读拔?;这个字读;Ce caractère se prononce ;拔;?;arracher;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;ba;T2;bá;"pa_""_2"
5;这个字读把.;这个字读;Ce caractère se prononce ;把;.;poignée;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;ba;T3;bǎ;"pa_""_3"
5;这个字读爸?;这个字读;Ce caractère se prononce ;爸;?;papa;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;ba;T4;bà;"pa_""_4"
5;这个字念八.;这个字念;Ce caractère se prononce ;八;.;huit;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;ba;T1;bā;"pa_""_1 "
