nbsylls;phrase;Types de phrases;Phrase porteuse(CN)   ;(particules) signes de ponctuation www .fr dic. co m 版 权 所 有;Traduction;Caractère(CN);Traduction du caractère;Phrase porteuse (pinyin);Phrase porteuse (SAMPA-C);Syllabe sans ton (pinyin) ;Ton;Syllabe avec ton (pinyin)Pinyin diacritique;Syllable avec ton (SAMPA-C)
5;这个字念眨。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;眨;clignoter;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zha;T3;zhǎ;"ts`a_""_3"
5;这个字念榨。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;榨;presser;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zha;T4;zhà;"ts`a_""_4"
5;这个字读汁。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;汁;jus;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zhi;T1;zhī;ts`i_1
5;这个字读直。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;直;droit;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zhi;T2;zhí;ts`i_2
5;这个字读纸。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;纸;papier;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zhi;T3;zhǐ;ts`i_3
5;这个字读置。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;置;placer;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zhi;T4;zhì;ts`i_4
5;这个字念汁。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;汁;jus;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zhi;T1;zhī;ts`i_1
5;这个字念直。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;直;droit;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zhi;T2;zhí;ts`i_2
5;这个字念纸。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;纸;papier;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zhi;T3;zhǐ;ts`i_3
5;这个字念置。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;置;placer;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zhi;T4;zhì;ts`i_4
5;这个字读汁。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;汁;jus;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zhi;T1;zhī;ts`i_1
5;这个字读直。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;直;droit;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zhi;T2;zhí;ts`i_2
5;这个字读纸。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;纸;papier;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zhi;T3;zhǐ;ts`i_3
5;这个字读置。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;置;placer;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zhi;T4;zhì;ts`i_4
5;这个字念汁。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;汁;jus;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zhi;T1;zhī;ts`i_1
5;这个字念直。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;直;droit;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zhi;T2;zhí;ts`i_2
5;这个字念纸。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;纸;papier;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zhi;T3;zhǐ;ts`i_3
5;这个字念置。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;置;placer;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zhi;T4;zhì;ts`i_4
