;V;SAMPA;ortho;mot;Aperture;Position;Oral/Nasal;Compact/Diffus;Grave/Aigu;Diésé/Bémolisé
1;i;i;i;;Fer;Ant;O;D;A;Di
2;y;y;u;;Fer;Ant;O;D;A;Be
3;e;e;é;;Moy;Ant;O;D;A;Di
4;Ø;2;eu;;Moy;Ant;O;D;A;Be
7;a;a;a;;Ouv;Cen;O;Cp;G;Di
9;o;o;o;;Moy;Ar;O;D;G;Be
10;u;u;ou;;Fer;Ar;O;D;G;Be
11;B;a~;en;;Ouv;Cen;N;Cp;G;
12;I;o~;on;;Moy;Ar;N;D;G;
13;C;E~;in;;Moy;Ant;N;D;A;
