nbsylls;phrase;Types de phrases;Phrase porteuse(CN)   ;(particules) signes de ponctuation www .fr dic. co m 版 权 所 有;Traduction;Caractère(CN);Traduction du caractère;Phrase porteuse (pinyin);Phrase porteuse (SAMPA-C);Syllabe sans ton (pinyin) ;Ton;Syllabe avec ton (pinyin)Pinyin diacritique;Syllable avec ton (SAMPA-C)
6;这个字读渣吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;渣;résidu;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;zha;T1;zhā;"ts`a_""_1 "
6;这个字读闸吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;闸;vanne;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;zha;T2;zhá;"ts`a_""_2"
6;这个字读眨吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;眨;clignoter;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;zha;T3;zhǎ;"ts`a_""_3"
6;这个字读榨吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;榨;presser;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;zha;T4;zhà;"ts`a_""_4"
6;这个字念渣吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;渣;résidu;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;zha;T1;zhā;"ts`a_""_1 "
6;这个字念闸吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;闸;vanne;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;zha;T2;zhá;"ts`a_""_2"
6;这个字念眨吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;眨;clignoter;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;zha;T3;zhǎ;"ts`a_""_3"
6;这个字念榨吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;榨;presser;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;zha;T4;zhà;"ts`a_""_4"
6;这个字读汁吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;汁;jus;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;zhi;T1;zhī;ts`i_1
6;这个字读直吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;直;droit;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;zhi;T2;zhí;ts`i_2
6;这个字读纸吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;纸;papier;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;zhi;T3;zhǐ;ts`i_3
6;这个字读置吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;置;placer;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;zhi;T4;zhì;ts`i_4
6;这个字念汁吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;汁;jus;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;zhi;T1;zhī;ts`i_1
6;这个字念直吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;直;droit;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;zhi;T2;zhí;ts`i_2
6;这个字念纸吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;纸;papier;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;zhi;T3;zhǐ;ts`i_3
6;这个字念置吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;置;placer;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;zhi;T4;zhì;ts`i_4
6;这个字读汁吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;汁;jus;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;zhi;T1;zhī;ts`i_1
6;这个字读直吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;直;droit;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;zhi;T2;zhí;ts`i_2
6;这个字读纸吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;纸;papier;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;zhi;T3;zhǐ;ts`i_3
6;这个字读置吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;置;placer;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;zhi;T4;zhì;ts`i_4
6;这个字念汁吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;汁;jus;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;zhi;T1;zhī;ts`i_1
6;这个字念直吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;直;droit;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;zhi;T2;zhí;ts`i_2
6;这个字念纸吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;纸;papier;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;zhi;T3;zhǐ;ts`i_3
6;这个字念置吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;置;placer;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;zhi;T4;zhì;ts`i_4
