Tableau 1;5;Tableau 1;;;;;;;;;
Phrase porteuse(CN)   Caractère(CN);5;Phrase porteuse(CN)   ;Traduction;Caractère(CN);Traduction du caractère;Phrase porteuse (pinyin);Phrase porteuse (SAMPA-C);Syllabe sans ton (pinyin) ;Ton;Syllabe avec ton (pinyin)Pinyin diacritique;Syllable avec ton (SAMPA-C)
这个字念拔;5;这个字念;Ce caractère se prononce ;拔;arracher;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;ba;T2;bá;pa_"_2
这个字念把;5;这个字念;Ce caractère se prononce ;把;poignée;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;ba;T3;bǎ;pa_"_3
这个字念爸;5;这个字念;Ce caractère se prononce ;爸;papa;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;ba;T4;bà;pa_"_4
;5;;;;;;;;;;
这个字读逼;5;这个字读;Ce caractère se prononce ;逼;forcer;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;bi;T1;bī;pi_1
这个字读鼻;5;这个字读;Ce caractère se prononce ;鼻;nez;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;bi;T2;bí;pi_2
这个字读比;5;这个字读;Ce caractère se prononce ;比;comparer;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;bi;T3;bǐ;pi_3
这个字读必;5;这个字读;Ce caractère se prononce ;必;sûrement;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;bi;T4;bì;pi_4
这个字念逼;5;这个字念;Ce caractère se prononce ;逼;forcer;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;bi;T1;bī;pi_1
这个字念鼻;5;这个字念;Ce caractère se prononce ;鼻;nez;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;bi;T2;bí;pi_2
这个字念比;5;这个字念;Ce caractère se prononce ;比;comparer;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;bi;T3;bǐ;pi_3
这个字念必;5;这个字念;Ce caractère se prononce ;必;sûrement;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;bi;T4;bì;pi_4
;5;;;;;;;;;;
这个字读嗒;5;这个字读;Ce caractère se prononce ;嗒;tac;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;da;T1;dā;ta_"_1 
这个字读答;5;这个字读;Ce caractère se prononce ;答;répondre;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;da;T2;dá;ta_"_2
这个字读打;5;这个字读;Ce caractère se prononce ;打;frapper;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;da;T3;dǎ;ta_"_3
这个字读大;5;这个字读;Ce caractère se prononce ;大;grand;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;da;T4;dà;ta_"_4
这个字念嗒;5;这个字念;Ce caractère se prononce ;嗒;tac;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;da;T1;dā;ta_"_1 
